No,物件種目,住所,登録価格（万円）,成約価格（万円）,交通,土地権利,建ぺい率,用途地域,坪単価（万円）,容積率,土地面積（㎡）,土地面積（坪）,公開日,成約日,私道面積,私道持分,条件
595,売地,袋井市浅羽一色,550,540,バス停,所有権,60,無指定,7.8,200,236.89,71,2023/4/1,2023/4/18,-,-,相談
589,売地,袋井市浅羽字奥林2387-2,900,900,東海道本線/バス停,所有権,60,-,9.9,100,305,91,2023/6/6,2023/6/16,-,-,更地渡し
586,売地,袋井市浅羽字奥林2428-8,850,850,東海道本線,所有権,60,-,10.6,100,268,80,2023/1/20,2023/4/8,-,-,現況渡し
574,売地,袋井市浅岡325-1、326-1,1100,1100,東海道本線/バス停,所有権,60,１種住居,8.8,200,418,124,2023/7/22,2023/7/29,-,-,現況渡し
577,売地,袋井市浅名1014-7,880,880,東海道本線,所有権,60,２種住居,9.7,200,303.1,90,2024/11/25,2024/11/30,-,-,更地渡し
576,売地,袋井市浅名860-142号地,720,22,東海道本線/バス停,所有権,50,１種低層,8.3,100,289.56,86,2025/2/9,2025/4/22,-,-,現況渡し
575,売地,袋井市浅名860-153号地,680,24,東海道本線/バス停,所有権,50,１種低層,6.3,100,360.26,107,2025/2/9,2025/4/22,-,-,現況渡し
578,売地,袋井市浅名Ｂ区画,890,89,バス停,所有権,60,１種住居,11.1,200,270.38,81,2023/3/23,2023/5/23,-,-,更地渡し
579,売地,袋井市浅名B区画,890,890,バス停,所有権,60,１種住居,11.1,200,270.38,81,2023/2/26,2023/4/30,-,-,更地渡し
570,売地,袋井市袋井17,525,525,東海道本線,所有権,80,近隣商業,12.2,200,144.72,43,2024/7/22,2024/11/1,-,-,更地渡し
601,売地,袋井市長溝489-1,6,6,東海道本線,所有権,60,無指定,0.1,200,154.61,46,2024/8/27,2024/9/9,-,-,現況渡し
604,売地,袋井市天神町３丁目13-1,1840,1840,東海道本線,所有権,50,１種低層,26.8,100,230.96,69,2024/10/17,2024/10/28,-,-,現況渡し
597,売地,袋井市梅山,350,350,東海道本線/バス停,所有権,60,無指定,5.3,200,222.06,66,2023/8/10,2023/8/28,-,-,現況渡し
596,売地,袋井市梅山,350,350,東海道本線,所有権,60,無指定,5.1,200,231.94,69,2023/8/10,2023/8/28,-,-,現況渡し
598,売地,袋井市富里,200,160,バス停,所有権,60,無指定,5.2,200,128.4,38,2023/7/24,2023/10/5,-,-,現況渡し
600,売地,袋井市豊住,3000,2800,バス停,所有権,60,無指定,10.4,200,966,288,2023/5/10,2023/6/25,-,-,相談
599,売地,袋井市豊住492,520,520,東海道本線,所有権,60,-,6.8,200,257.84,77,2025/3/4,2025/3/21,-,-,更地渡し
567,売地,袋井市豊沢,1200,1150,バス停,所有権,60,無指定,5.6,200,725.52,216,2023/12/24,2024/3/2,-,-,相談
566,売地,袋井市豊沢255-56,952,952,バス停,所有権,60,無指定,12.2,200,262.41,78,2025/3/3,2025/4/9,-,-,更地渡し
571,売地,袋井市堀越529-20,75,18,東海道本線/バス停,所有権,60,工業地域,1.3,200,192.47,57,2025/3/1,2025/3/15,-,-,相談
603,売地,袋井市湊75番地4,158.5,140,東海道本線,所有権,60,無指定,10.5,200,50.86,15,2024/2/9,-,-,-,現況渡し
551,売地,袋井市木原460-2,6,6,東海道本線/バス停,所有権,60,無指定,0.1,200,248.15,74,2023/9/2,-,-,-,現況渡し
573,売地,袋井市鷲巣912番８,500,450,東海道本線/バス停,所有権,60,-,6.1,200,277,82,2023/6/1,2023/6/21,-,-,現況渡し
645,売地,磐田市安久路２丁目20-6№1,1750,1650,東海道本線/バス停,所有権,50,-,22.4,80,262.62,78,2025/1/16,2025/1/27,-,-,現況渡し
657,売地,磐田市下本郷231-51,1769,1769,東海道本線,所有権,60,-,28.9,100,205.28,61,2024/11/8,2024/11/24,-,-,現況渡し
656,売地,磐田市下野部1676番1,350,350,天竜浜名湖鉄道,所有権,50,無指定,1.8,80,649.32,193,2025/2/3,2025/2/6,-,-,現況渡し
653,売地,磐田市加茂659-3,1380,1250,東海道本線,所有権,40,無指定,4.7,80,976,291,2024/4/17,2024/6/12,-,-,現況渡し
647,売地,磐田市掛塚1113,600,380,バス停,所有権,60,２種中高,8.5,150,236.59,70,2023/3/18,2023/4/30,-,-,更地渡し
608,売地,磐田市笠梅553-5,480,480,バス停,所有権,60,無指定,5.6,200,287.5,86,2023/11/20,2023/11/20,-,-,現況渡し
609,売地,磐田市鎌田22,1755,1755,東海道本線,所有権,90,近隣商業,29.4,200,200.5,60,2023/5/26,2023/7/10,-,-,建築条件付
610,売地,磐田市鎌田46街区4，5，9,1819,1700,東海道本線,所有権,50,１種低層,30.5,80,200.5,60,2024/11/26,2025/1/23,-,-,現況渡し
605,売地,磐田市岩井1936-1D区画,1680,1680,東海道本線/バス停/バス停停歩11分,所有権,40,１種低層,22.6,80,250,74,2025/2/8,2025/2/22,-,-,現況渡し
636,売地,磐田市見付,1720,1680,バス停/バス停,所有権,70,２種住居,25.9,200,222.57,66,2025/3/4,2025/4/7,-,-,更地渡し
637,売地,磐田市見付,1720,1650,バス停,所有権,70,２種住居,25.9,200,222.57,66,2025/2/1,2025/3/31,-,-,更地渡し
638,売地,磐田市見付,1980,1980,バス停,所有権,40,１種低層,23.9,80,277.66,83,2024/6/24,2024/7/29,-,-,現況渡し
633,売地,磐田市見付1123-3A区画,880,850,東海道本線,所有権,60,-,12.9,150,229.21,68,2023/5/29,2023/6/28,-,-,更地渡し
635,売地,磐田市見付1494-3,1550,1550,東海道本線,所有権,60,-,20.2,150,258,77,2023/8/18,2023/9/19,-,-,現況渡し
